Parameters:
Entities,Kingsway
Rooms,All
Classifications,All
Products,All
In Stock Only,No
Brands,All

Location,Product,Classification,SKU,In Stock Qty,Unit Type,Received Date,PackageId,BatchId,Expiration Date,Use By Date,Packaged Date,Unit Cost,Total Cost,Transfer In Qty,Transfer Out Qty,On Order Qty,Regular Price,Days In Stock,Room,Manufacturer,Supplier,Supplier SKU,Product State,Strain,THC %,CBD %
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,0.000,Each,03/11/2025,PG241213336,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,285,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,0.000,Each,03/21/2025,PG250109008,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,275,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,0.000,Each,05/29/2025,PG250127036,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,206,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,0.000,Each,06/05/2025,PG250319111,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,199,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,0.000,Each,08/08/2025,PG250403130,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,135,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,0.000,Each,10/31/2025,PG250527179,,,,,4.9000,0.0000,0.000,0.000,0.000,7.95,51,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CBG/THC BLUE RASPBERRY GUMMIES (2PC),Rosin & Resin Gummies/Chews,141MR2UX,55.000,Each,12/05/2025,PG250716245,,,,,4.9000,269.5000,0.000,0.000,0.000,7.95,16,Default,,BCLDB,1067300,Active,,,
Kingsway,1964: CLEOPATRA FSE RESIN VAPE (1g),Resin Vapes,3F8CR3MW,0.000,Each,01/30/2025,CLEFED001,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,325,Default,,BCLDB,1067538,Active,,,
Kingsway,1964: COMATOSE FSE CURED RESIN (1g),Resin,A2UWPXLB,18.000,Each,12/12/2025,CT1CRE004,,,,,24.4700,440.4600,0.000,0.000,0.000,39.95,9,Default,,BCLDB,1070604,Active,,,
Kingsway,1964: COMATOSE FSE RESIN DISPOSABLE (0.5g),Disposable Vapes,CZBREAQ6,0.000,Each,11/28/2025,CT1FEE003,,,,,20.9800,0.0000,0.000,0.000,0.000,32.95,23,Default,,BCLDB,1069172,Active,,,
Kingsway,1964: COMATOSE FSE RESIN DISPOSABLE (0.5g),Disposable Vapes,CZBREAQ6,6.000,Each,12/20/2025,CT1FEE007,,,,,20.9800,125.8800,0.000,0.000,0.000,32.95,1,Default,,BCLDB,1069172,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,0.000,Each,09/13/2024,CT1FED002,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,464,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,0.000,Each,04/02/2025,CT1FED003,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,263,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,0.000,Each,05/02/2025,CT1FED004,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,233,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,0.000,Each,07/18/2025,CT1FED005,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,156,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,0.000,Each,10/31/2025,CT1FEE001,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,51,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,13.000,Each,11/28/2025,CT1FEE002,,,,,27.9700,363.6100,0.000,0.000,0.000,44.95,23,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE FSE RESIN VAPE CARTRIDGE (1g),Resin Vapes,2X7BCM0T,0.000,Each,08/12/2024,MXALD029,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,496,Default,,BCLDB,1065808,Active,,,
Kingsway,1964: COMATOSE RESIN INFUSED PRE-ROLL (1 x 0.5g),Resin Infused Pre-Rolls,CU0M37AK,0.000,Each,09/12/2024,CT1IED001,,,,,7.6900,0.0000,0.000,0.000,0.000,11.95,465,Default,,BCLDB,1066551,Active,,,
Kingsway,1964: COMATOSE RESIN INFUSED PRE-ROLL (1 x 0.5g),Resin Infused Pre-Rolls,CU0M37AK,0.000,Each,01/03/2025,CT1IED002,,,,,7.6900,0.0000,0.000,0.000,0.000,11.95,352,Default,,BCLDB,1066551,Active,,,
Kingsway,1964: COMATOSE RESIN INFUSED PRE-ROLL (1 x 0.5g),Resin Infused Pre-Rolls,CU0M37AK,0.000,Each,01/24/2025,CT1IED003,,,,,7.6900,0.0000,0.000,0.000,0.000,11.95,331,Default,,BCLDB,1066551,Active,,,
Kingsway,1964: DEATH BUBBA CURED RESIN (1g),Resin,TCL3QGE4,0.000,Each,03/08/2025,MXXALD062,,,,,27.9700,0.0000,0.000,0.000,0.000,39.95,288,Default,,BCLDB,1064359,Active,,,
Kingsway,1964: DIAMONDS (1g),Diamonds,B6MNJW0A,0.000,Each,11/30/2024,MXALD005,,,,,27.9700,0.0000,0.000,0.000,0.000,34.95,386,Default,,BCLDB,1065004,Active,,,
Kingsway,1964: GELATO #41 FSE RESIN VAPE (1g),Resin Vapes,72F2YBTM,0.000,Each,11/15/2024,G41FED001,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,401,Default,,BCLDB,1066550,Active,,,
